Id,Imię,Nazwisko,Stypendium,Rok,Kierunek,Miasto,Ulica
326,Faustyna,Leszczyński,false,1,Informatyka,Gdańsk,Żytnia
327,Nadia,Krakowiak,false,2,Automatyka i Robotyka,Kraków,Bankowa
328,Maks,Skibiński,false,2,Elektrotechnika,Kielce,11 Listopada
329,Adrian,Witkowski,false,1,Inżynieria Biomedyczna,Kraków,Aleja Niepodległości
330,Feliks,Maciejewski,false,4,Informatyka,Warszawa,Ogrodowa
331,Gabriel,Pietrzyk,false,1,Inżynieria Biomedyczna,Kielce,Kazimierza Wielkiego
332,Gertruda,Węgrzyn,true,2,Inżynieria Biomedyczna,Katowice,Pomorska
333,Ewa,Matuszewski,true,1,Mikroelektronika w technice i medycynie,Kraków,Szczecińska
334,Elżbieta,Borek,false,1,Informatyka,Bydgoszcz,Andrzeja Struga
335,Karyna,Makowski,false,3,Inżynieria Biomedyczna,Kraków,Józefa Poniatowskiego
336,Milena,Karpiński,false,4,Automatyka i Robotyka,Poznań,Beskidzka
337,Michał,Skoczylas,false,4,Informatyka,Wrocław,Jagiellońska
338,Kacper,Szczygieł,false,2,Informatyka,Warszawa,Szczecińska
339,Dominik,Rakowski,false,4,Informatyka,Wrocław,Zamkowa
340,Lech,Wróblewski,false,4,Inżynieria Biomedyczna,Katowice,Stefana Starzyńskiego
341,Dominik,Nowak,false,3,Automatyka i Robotyka,Bydgoszcz,Lechicka
342,Denis,Pluta,true,5,Inżynieria Biomedyczna,Lublin,Fabryczna
343,Iwona,Piórkowski,false,4,Inżynieria Biomedyczna,Kraków,Zachodnia
344,Elwira,Jędrzejczak,false,5,Inżynieria Biomedyczna,Szczecin,Katowicka
345,Kacper,Dąbek,false,1,Elektrotechnika,Poznań,Gnieźnieńska
346,Martyna,Chrzanowski,true,2,Automatyka i Robotyka,Kraków,Bytomska
347,Łucja,Raczyński,true,4,Informatyka,Poznań,Konstytucji 3 Maja
348,Irena,Rogowski,false,4,Elektrotechnika,Kraków,Francuska
349,Alfred,Augustyniak,false,3,Inżynieria Biomedyczna,Gdańsk,Mikołaja Kopernika
350,Berta,Jędrzejczak,true,4,Elektrotechnika,Kraków,Lipowa
351,Jakub,Bogusz,false,5,Inżynieria Biomedyczna,Kraków,Chopina
352,Bożena,Duda,true,1,Mikroelektronika w technice i medycynie,Kraków,Grottgera
353,Magda,Gruszka,false,4,Mikroelektronika w technice i medycynie,Katowice,Legionów
354,Cecylia,Filipek,false,5,Informatyka,Gdańsk,Ignacego Paderewskiego
355,Ewelina,Janicki,true,1,Mikroelektronika w technice i medycynie,Katowice,Bolesława Leśmiana
356,Robert,Kwiecień,false,2,Informatyka,Katowice,Beskidzka
357,Daria,Szczepaniak,false,1,Mikroelektronika w technice i medycynie,Szczecin,Katowicka
358,Olaf,Kurek,false,5,Mikroelektronika w technice i medycynie,Wrocław,Mikołaja Kopernika
359,Bożena,Dziedzic,false,1,Inżynieria Biomedyczna,Wrocław,Andrzeja Struga
360,Ada,Kosiński,false,2,Elektrotechnika,Wrocław,Andrzeja Struga
361,Daria,Bogusz,false,3,Informatyka,Poznań,Śląska
362,Paweł,Ostrowski,false,3,Inżynieria Biomedyczna,Poznań,Starowiejska
363,Róża,Łukasiewicz,false,3,Mikroelektronika w technice i medycynie,Bydgoszcz,gen. Andersa
364,Halina,Małek,false,2,Inżynieria Biomedyczna,Szczecin,Bracka
365,Artur,Cygan,false,5,Elektrotechnika,Kielce,Boh.Monte Cassino
366,Kalina,Dąbrowski,false,2,Automatyka i Robotyka,Katowice,Senatorska
367,Bartosz,Szymczak,false,3,Automatyka i Robotyka,Wrocław,Wałowa
368,Ewelina,Szafrański,false,3,Mikroelektronika w technice i medycynie,Poznań,Tadeusza Kościuszki
369,Ludwik,Gąsiorowski,false,2,Mikroelektronika w technice i medycynie,Wrocław,Hrubieszowska
370,Norbert,Kaczmarski,false,2,Elektrotechnika,Kraków,Konstytucji 3 Maja
371,Waldemar,Sokołowski,false,4,Elektrotechnika,Szczecin,Juliana Tuwima
372,Karolina,Bilski,false,1,Elektrotechnika,Kraków,Lwowska
373,Albert,Kubacki,false,2,Automatyka i Robotyka,Warszawa,Henryka Sienkiewicza
374,Hieronim,Woźniak,true,5,Elektrotechnika,Gdańsk,Północna
375,Dominik,Czechowski,false,1,Informatyka,Kraków,Krucza
376,Denis,Zarzycki,false,2,Elektrotechnika,Gdańsk,Katowicka
377,Zygmunt,Janowski,true,5,Informatyka,Kielce,Piwna
378,Feliks,Piątkowski,false,5,Informatyka,Lublin,Stefana Żeromskiego
379,Zbigniew,Kowalczyk,false,1,Mikroelektronika w technice i medycynie,Poznań,Lubelska
380,Oskar,Rudnicki,false,5,Elektrotechnika,Poznań,Kolejowa
381,Hanna,Lech,false,4,Elektrotechnika,Kielce,Zdrowa
382,Oskar,Piwowarczyk,false,1,Automatyka i Robotyka,Katowice,Kolejowa
383,Celina,Misztal,false,2,Mikroelektronika w technice i medycynie,Szczecin,Ignacego Paderewskiego
384,Szymon,Andrzejczak,false,4,Automatyka i Robotyka,Warszawa,Szewska
385,Otylia,Wróbel,false,4,Automatyka i Robotyka,Katowice,Strzelecka
386,Helga,Michałowski,false,5,Inżynieria Biomedyczna,Warszawa,Jana Pawła II
387,Iwona,Sobczyk,false,5,Informatyka,Katowice,Juliusza Słowackiego
388,Feliks,Drzewiecki,false,1,Automatyka i Robotyka,Poznań,Jezuicka
389,Gabriela,Muszyński,false,5,Automatyka i Robotyka,Kraków,Bolesława Leśmiana
390,Olga,Barański,false,5,Automatyka i Robotyka,Warszawa,Aleja Wolności
391,Adam,Gaweł,true,5,Inżynieria Biomedyczna,Szczecin,Hrubieszowska
392,Małgorzata,Mierzejewski,false,5,Informatyka,Wrocław,Browarna
393,Jowita,Zaręba,true,4,Informatyka,Kraków,Juliana Tuwima
394,Wacław,Szymczyk,false,3,Inżynieria Biomedyczna,Kielce,Pocztowa
395,Wacław,Wasiak,false,4,Elektrotechnika,Katowice,Jezuicka
396,Maciej,Olejniczak,false,1,Inżynieria Biomedyczna,Bydgoszcz,Krucza
397,Igor,Przybylski,false,4,Mikroelektronika w technice i medycynie,Bydgoszcz,Starowiejska
398,Rafał,Krakowiak,false,2,Elektrotechnika,Szczecin,Lechicka
399,Martyna,Piórkowski,false,4,Informatyka,Lublin,Francuska
400,Jolanta,Maćkowiak,false,2,Mikroelektronika w technice i medycynie,Poznań,Stefana Żeromskiego
401,Aleksander,Staniszewski,false,5,Inżynieria Biomedyczna,Poznań,Zdrowa
402,Bogdan,Mucha,false,1,Informatyka,Kielce,Lwowska
403,Paweł,Szydłowski,false,3,Informatyka,Poznań,Ciasna
404,Czesława,Kubicki,false,5,Elektrotechnika,Kielce,Ignacego Paderewskiego
405,Mikołaj,Bednarek,false,1,Elektrotechnika,Bydgoszcz,Lechicka
406,Irena,Kowalewski,false,2,Inżynieria Biomedyczna,Wrocław,Francuska
407,Marek,Krakowiak,false,2,Informatyka,Lublin,Starowiejska
408,Grażyna,Janiak,false,3,Inżynieria Biomedyczna,Poznań,Towarowa
409,Dionizy,Polak,false,5,Inżynieria Biomedyczna,Kielce,Chłodna
410,Grzegorz,Misztal,false,4,Inżynieria Biomedyczna,Bydgoszcz,Niestachowska
411,Sylwia,Jędrzejewski,false,4,Elektrotechnika,Kraków,Królowej Jadwigi
412,Jeremiasz,Marczak,false,3,Elektrotechnika,Poznań,Wrocławska
413,Rafał,Banach,false,2,Inżynieria Biomedyczna,Poznań,Wojska Polskiego
414,Jan,Filipek,true,2,Automatyka i Robotyka,Warszawa,Stefana Starzyńskiego
415,Wilma,Banach,false,5,Elektrotechnika,Lublin,Henryka Dąbrowskiego
416,Krystyna,Kaźmierczak,false,5,Inżynieria Biomedyczna,Lublin,Janusza Korczaka
417,Radosław,Ratajczak,true,1,Inżynieria Biomedyczna,Katowice,Stanisława Małachowskiego
418,Jan,Bochenek,false,2,Elektrotechnika,Kielce,Królewska
419,Oleg,Czech,false,2,Informatyka,Gdańsk,Francuska
420,Wilma,Żak,false,5,Informatyka,Kielce,Mikołaja Reja
421,Eliasz,Kozak,false,5,Informatyka,Szczecin,Wojska Polskiego
422,Maria,Kaczmarczyk,false,1,Informatyka,Kielce,Jana Kilińskiego
423,Sabina,Łukasik,false,4,Inżynieria Biomedyczna,Gdańsk,Mikołowska
424,Justyna,Janas,true,3,Informatyka,Warszawa,Gnieźnieńska
425,Zenobia,Serafin,false,1,Informatyka,Katowice,Królowej Jadwigi
426,Tamara,Cichoń,false,1,Informatyka,Katowice,Andrzeja Struga
427,Tytus,Kurowski,false,1,Elektrotechnika,Kielce,Nowowiejska
428,Jadwiga,Kaczyński,false,3,Inżynieria Biomedyczna,Kielce,Żytnia
429,Elżbieta,Kania,true,1,Mikroelektronika w technice i medycynie,Warszawa,Obozowa
430,Feliks,Grzelak,false,3,Informatyka,Kraków,Pocztowa
431,Luiza,Stelmach,true,1,Informatyka,Kraków,Siemianowicka
432,Bazyli,Zarzycki,false,2,Mikroelektronika w technice i medycynie,Poznań,gen. Andersa
433,Wit,Kozłowski,false,1,Elektrotechnika,Szczecin,Gliwicka
434,Marcin,Rosiński,false,3,Elektrotechnika,Gdańsk,Jana Pawła II
435,Ludwik,Cichoń,false,3,Elektrotechnika,Lublin,Zwierzyniecka
436,Jeremiasz,Czyż,false,1,Elektrotechnika,Wrocław,Szeroka
437,Tadeusz,Gruszczyński,false,5,Automatyka i Robotyka,Poznań,Henryka Sienkiewicza
438,Gertruda,Lewandowski,false,3,Elektrotechnika,Warszawa,Poznańska
439,Zofia,Rak,false,1,Automatyka i Robotyka,Lublin,Akademicka
440,Jolanta,Sadowski,false,5,Mikroelektronika w technice i medycynie,Bydgoszcz,Henryka Dąbrowskiego
441,Dorota,Brzeziński,false,1,Automatyka i Robotyka,Katowice,Grottgera
442,Józef,Chrzanowski,false,4,Automatyka i Robotyka,Kraków,Aleja Wolności
443,Jowita,Bielawski,false,2,Inżynieria Biomedyczna,Bydgoszcz,Browarna
444,Elwira,Borek,false,1,Inżynieria Biomedyczna,Kielce,Aleja Wolności
445,Laura,Krawczyk,false,2,Automatyka i Robotyka,Poznań,Świętokrzyska
446,Paweł,Białek,false,3,Automatyka i Robotyka,Szczecin,1 Maja
447,Leon,Flis,false,2,Inżynieria Biomedyczna,Kraków,Piękna
448,Łucja,Kmiecik,false,2,Mikroelektronika w technice i medycynie,Poznań,3 Maja
449,Dariusz,Żebrowski,false,3,Mikroelektronika w technice i medycynie,Poznań,Krucza
450,Grzegorz,Stępień,false,2,Mikroelektronika w technice i medycynie,Lublin,Zwycięstwa
451,Sebastian,Panek,false,5,Inżynieria Biomedyczna,Poznań,Chopina
452,Maciej,Dziedzic,false,2,Informatyka,Kraków,Świętokrzyska
453,Małgorzata,Wojciechowski,false,2,Automatyka i Robotyka,Lublin,Partyzantów
454,Krystian,Kozak,false,5,Inżynieria Biomedyczna,Lublin,Okopowa
455,Felicja,Skiba,false,3,Inżynieria Biomedyczna,Bydgoszcz,ALeja Solidarności
456,Konrad,Czajka,false,3,Elektrotechnika,Poznań,Senatorska
457,Weronika,Zawada,true,4,Elektrotechnika,Szczecin,Gdańska
458,Nikola,Pietras,false,5,Inżynieria Biomedyczna,Poznań,Krakowska
459,Leokadia,Witkowski,false,2,Inżynieria Biomedyczna,Kraków,Piekarska
460,Michał,Osiński,false,3,Mikroelektronika w technice i medycynie,Kraków,Bielska
461,Przemysław,Piórkowski,false,2,Elektrotechnika,Warszawa,Krakowskie Przedmieście
462,Danuta,Nawrot,false,5,Inżynieria Biomedyczna,Wrocław,Dworcowa
463,Adrian,Kowalczyk,false,2,Automatyka i Robotyka,Katowice,Bytomska
464,Róża,Michałowski,true,4,Inżynieria Biomedyczna,Gdańsk,Długa
465,Pamela,Kostrzewa,false,3,Elektrotechnika,Poznań,Śląska
466,Kamil,Bogusz,true,5,Informatyka,Kielce,Wojska Polskiego
467,Izydor,Frankowski,false,2,Elektrotechnika,Poznań,Boh.Monte Cassino
468,Szymon,Ratajczak,false,5,Automatyka i Robotyka,Gdańsk,Towarowa
469,Leszek,Chmiel,true,2,Inżynieria Biomedyczna,Warszawa,ks. Jerzego Popoiełuszki
470,Faustyna,Szymczak,true,3,Automatyka i Robotyka,Poznań,Tadeusza Kościuszki
471,Barbara,Milewski,true,3,Elektrotechnika,Warszawa,Piekarska
472,Helga,Wilczek,true,2,Elektrotechnika,Kraków,Wincentego Witosa
473,Danuta,Gąsiorowski,false,1,Mikroelektronika w technice i medycynie,Kraków,Świętojańska
474,Iza,Urbański,false,5,Elektrotechnika,Szczecin,Andrzeja Struga
475,Radosław,Pająk,true,5,Elektrotechnika,Kraków,Mikołaja Kopernika
476,Dariusz,Bogusz,false,3,Inżynieria Biomedyczna,Gdańsk,Gliwicka
477,Eliza,Dobrzyński,false,2,Informatyka,Katowice,Stefana Wyszyńskiego
478,Walentyna,Grabowski,true,1,Informatyka,Bydgoszcz,Bankowa
479,Daria,Zieliński,true,2,Informatyka,Kielce,Bytomska
480,Grażyna,Czaja,false,3,Elektrotechnika,Szczecin,Wrocławska
481,Przemysław,Sieradzki,false,3,Elektrotechnika,Poznań,Wojska Polskiego
482,Kacper,Matuszewski,false,3,Automatyka i Robotyka,Katowice,Zdrowa
483,Renata,Kowal,false,2,Mikroelektronika w technice i medycynie,Lublin,Józefa Piłsudskiego
484,Leokadia,Krupa,true,1,Mikroelektronika w technice i medycynie,Szczecin,Gliwicka
485,Otylia,Kaczmarski,false,3,Inżynieria Biomedyczna,Poznań,Wrocławska
486,Arkadiusz,Bielecki,false,2,Elektrotechnika,Warszawa,Stefana Wyszyńskiego
487,Eliza,Błaszczyk,false,5,Elektrotechnika,Wrocław,Janusza Korczaka
488,Alfred,Kozak,false,2,Informatyka,Kielce,Złota
489,Marcin,Nowicki,false,2,Informatyka,Bydgoszcz,Jana Kasprowicza
490,Maja,Borowiec,false,2,Elektrotechnika,Kraków,Aleja 29 Listopada
491,Julian,Maciejewski,false,3,Automatyka i Robotyka,Katowice,Karmelicka
492,Agnieszka,Kucharczyk,false,5,Inżynieria Biomedyczna,Szczecin,Piękna
493,Krystian,Niemiec,false,3,Informatyka,Katowice,Kijowska
494,Bolesław,Nawrot,false,4,Automatyka i Robotyka,Lublin,Tadeusza Kościuszki
495,Wacław,Kozak,true,4,Mikroelektronika w technice i medycynie,Poznań,Kolejowa
496,Ewelina,Maćkowiak,false,3,Inżynieria Biomedyczna,Gdańsk,Mikołaja Kopernika
497,Karolina,Marcinkowski,true,3,Automatyka i Robotyka,Bydgoszcz,Zdrowa
498,Leszek,Mucha,false,2,Automatyka i Robotyka,Kraków,Obornicka
499,Tytus,Falkowski,true,5,Elektrotechnika,Gdańsk,Obozowa
500,Dorota,Wysocki,true,5,Inżynieria Biomedyczna,Kraków,Lwowska
501,Oskar,Cebula,false,1,Automatyka i Robotyka,Szczecin,Tadeusza Kościuszki
502,Łukasz,Graczyk,true,4,Elektrotechnika,Kraków,Powstańców Śląskich
503,Alicja,Jędrzejczak,false,1,Automatyka i Robotyka,Kraków,Stefana Żeromskiego
504,Tytus,Górski,false,3,Elektrotechnika,Lublin,Targowa
505,Nina,Jezierski,false,1,Inżynieria Biomedyczna,Lublin,Karola Świerczewskiego
506,Bogusław,Czerwiński,false,4,Elektrotechnika,Szczecin,Brzeska
507,Paweł,Pietras,true,4,Elektrotechnika,Lublin,Armii Krajowej
508,Wilma,Zaremba,false,5,Automatyka i Robotyka,Kraków,Opolska
509,Edmund,Skrzypczak,false,4,Elektrotechnika,Gdańsk,Konstytucji 3 Maja
510,Gaweł,Wawrzyniak,false,5,Mikroelektronika w technice i medycynie,Gdańsk,Mikołaja Reja
511,Fryderyk,Kowal,false,1,Mikroelektronika w technice i medycynie,Poznań,Ignacego Paderewskiego
512,Norbert,Misiak,false,2,Elektrotechnika,Lublin,Toruńska
513,Adrian,Sokołowski,true,4,Elektrotechnika,Kraków,Szeroka
514,Józef,Banaś,true,2,Informatyka,Kraków,Towarowa
515,Marek,Piórkowski,false,1,Automatyka i Robotyka,Bydgoszcz,Wrocławska
516,Urszula,Grzyb,false,1,Automatyka i Robotyka,Gdańsk,Złota
517,Kamila,Maćkowiak,false,2,Elektrotechnika,Katowice,Partyzantów
518,Ewelina,Mroczek,true,5,Mikroelektronika w technice i medycynie,Kraków,Jana Pawła II
519,Pola,Zakrzewski,true,3,Automatyka i Robotyka,Lublin,Fabryczna
520,Walentyna,Śliwa,false,2,Mikroelektronika w technice i medycynie,Gdańsk,Bolesława Prusa
521,Zdzisław,Domagała,true,4,Mikroelektronika w technice i medycynie,Bydgoszcz,Świętojańska
522,Agata,Jarosz,true,1,Elektrotechnika,Poznań,Obozowa
523,Wioletta,Czyż,false,2,Elektrotechnika,Bydgoszcz,Jana III Sobieskiego
524,Danuta,Majewski,false,4,Automatyka i Robotyka,Kielce,Janusza Korczaka
525,Tytus,Kędzierski,false,1,Automatyka i Robotyka,Warszawa,Bolesława Prusa
526,Helga,Zaręba,false,4,Automatyka i Robotyka,Kraków,Jagiellońska
527,Wiesław,Cieślak,false,3,Inżynieria Biomedyczna,Wrocław,Królewska
528,Iga,Drzewiecki,true,1,Inżynieria Biomedyczna,Kielce,Towarowa
529,Oliwia,Mikołajczak,false,5,Informatyka,Warszawa,Szewska
530,Wanda,Stankiewicz,false,3,Elektrotechnika,Gdańsk,Hetmańska
531,Wioletta,Zarzycki,false,3,Mikroelektronika w technice i medycynie,Gdańsk,Karmelicka
532,Patryk,Drzewiecki,false,4,Mikroelektronika w technice i medycynie,Kraków,Jana Kasprowicza
533,Iza,Madej,true,4,Inżynieria Biomedyczna,Katowice,Bolesława Prusa
534,Radosław,Sowiński,false,4,Elektrotechnika,Bydgoszcz,Warszawska
535,Eliasz,Kowalik,false,3,Informatyka,Katowice,Gnieźnieńska
536,Aneta,Łukasiewicz,false,3,Mikroelektronika w technice i medycynie,Kielce,Szpitalna
537,Seweryn,Borowiec,false,2,Mikroelektronika w technice i medycynie,Katowice,Senatorska
538,Oliwia,Łuczak,true,4,Elektrotechnika,Wrocław,Złota
539,Damian,Andrzejewski,false,3,Elektrotechnika,Katowice,ks. Jerzego Popoiełuszki
540,Zygmunt,Dobrowolski,false,4,Automatyka i Robotyka,Kraków,Starowiejska
541,Gertruda,Musiał,false,4,Inżynieria Biomedyczna,Gdańsk,Grunwaldzka
542,Kalina,Mroczek,false,2,Inżynieria Biomedyczna,Lublin,Piekarska
543,Justyna,Podgórski,true,1,Informatyka,Katowice,Aleja Niepodległości
544,Martyna,Wiśniewski,false,4,Informatyka,Lublin,Targowa
545,Zdzisław,Dubiel,false,4,Mikroelektronika w technice i medycynie,Warszawa,św Jana
546,Łucja,Strzelczyk,false,5,Automatyka i Robotyka,Katowice,Adama Mickiewicza
547,Ilona,Kaczyński,true,3,Inżynieria Biomedyczna,Kielce,Aleja Wolności
548,Martyna,Chrzanowski,false,5,Automatyka i Robotyka,Szczecin,Jana Kasprowicza
549,Bogumiła,Muszyński,false,4,Inżynieria Biomedyczna,Lublin,Karmelicka
550,Edmund,Markowski,false,1,Inżynieria Biomedyczna,Bydgoszcz,Grunwaldzka
551,Arkadiusz,Olejniczak,false,3,Inżynieria Biomedyczna,Poznań,gen. Andersa
552,Teresa,Rogala,false,2,Inżynieria Biomedyczna,Kraków,Złota
553,Tadeusz,Janas,false,1,Informatyka,Kraków,Henryka Dąbrowskiego
554,Nikodem,Zaremba,false,5,Mikroelektronika w technice i medycynie,Poznań,Beskidzka
555,Lech,Sieradzki,false,3,Informatyka,Bydgoszcz,Bytomska
556,Igor,Wilk,false,5,Inżynieria Biomedyczna,Kraków,Andrzeja Struga
557,Wilma,Kaczor,false,1,Automatyka i Robotyka,Szczecin,Partyzantów
558,Eryk,Żebrowski,false,3,Mikroelektronika w technice i medycynie,Warszawa,Stefana Starzyńskiego
559,Nikodem,Filipowicz,false,5,Mikroelektronika w technice i medycynie,Kraków,Janusza Korczaka
560,Radosław,Skrzypczak,false,5,Inżynieria Biomedyczna,Katowice,Krucza
561,Igor,Markiewicz,true,1,Inżynieria Biomedyczna,Katowice,Opolska
562,Jan,Biernacki,false,4,Informatyka,Wrocław,Dworcowa
563,Mirosław,Matuszak,false,3,Automatyka i Robotyka,Wrocław,Uniwersytecka
564,Wacław,Bogusz,false,4,Inżynieria Biomedyczna,Kielce,Łąkowa
565,Szczepan,Jagodziński,true,2,Inżynieria Biomedyczna,Kielce,1 Maja
566,Judyta,Borowski,false,4,Mikroelektronika w technice i medycynie,Gdańsk,Młyńska
567,Nina,Malinowski,true,4,Mikroelektronika w technice i medycynie,Kraków,Henryka Sienkiewicza
568,Wiktor,Kubik,false,4,Informatyka,Bydgoszcz,Ignacego Paderewskiego
569,Iwan,Sawicki,true,2,Automatyka i Robotyka,Kraków,Poznańska
570,Laura,Cichoń,false,4,Mikroelektronika w technice i medycynie,Gdańsk,Towarowa
571,Bogusław,Bednarz,false,2,Automatyka i Robotyka,Szczecin,Starowiejska
572,Marek,Kaleta,false,3,Informatyka,Szczecin,Andrzeja Struga
573,Horacy,Rzepka,true,2,Inżynieria Biomedyczna,Lublin,Miodowa
574,Fryderyk,Sosnowski,true,4,Elektrotechnika,Bydgoszcz,Łąkowa
575,Pola,Buczek,false,5,Elektrotechnika,Szczecin,1 Maja
576,Jowita,Dobrzyński,true,1,Inżynieria Biomedyczna,Wrocław,Żytnia
577,Artur,Ciesielski,false,4,Mikroelektronika w technice i medycynie,Kraków,Hallera
578,Przemysław,Ptak,true,5,Elektrotechnika,Bydgoszcz,Opolska
579,Bartosz,Szymański,false,3,Elektrotechnika,Lublin,Jana III Sobieskiego
580,Bogusław,Bieniek,true,1,Mikroelektronika w technice i medycynie,Kraków,Lubelska
581,Ada,Sikorski,false,2,Elektrotechnika,Kraków,Obozowa
582,Iwona,Kałuża,true,5,Elektrotechnika,Warszawa,Krakowska
583,Klara,Olczak,false,2,Inżynieria Biomedyczna,Kraków,Henryka Dąbrowskiego
584,Michał,Dziuba,false,5,Mikroelektronika w technice i medycynie,Gdańsk,Północna
585,Wojciech,Pietras,false,1,Mikroelektronika w technice i medycynie,Szczecin,Pomorska
586,Bogumiła,Stefaniak,false,3,Automatyka i Robotyka,Lublin,Obornicka
587,Wacław,Sobolewski,false,2,Inżynieria Biomedyczna,Bydgoszcz,Aleja Niepodległości
588,Szczepan,Wiśniewski,false,3,Inżynieria Biomedyczna,Warszawa,Francuska
589,Judyta,Krysiak,false,5,Informatyka,Katowice,Chmielna
590,Bruno,Przybyła,false,5,Inżynieria Biomedyczna,Warszawa,Młyńska
591,Martyna,Kujawa,false,4,Informatyka,Warszawa,11 Listopada
592,Zofia,Głowacki,false,1,Inżynieria Biomedyczna,Gdańsk,Piotra Skargi
593,Irena,Kuczyński,false,4,Automatyka i Robotyka,Lublin,Szpitalna
594,Bogdan,Dziuba,false,5,Mikroelektronika w technice i medycynie,Katowice,Krakowskie Przedmieście
595,Bogdan,Bednarek,false,2,Automatyka i Robotyka,Kraków,Armii Krajowej
596,Konrad,Krzyżanowski,false,2,Automatyka i Robotyka,Kraków,Piotra Skargi
597,Łucja,Kaczor,false,4,Inżynieria Biomedyczna,Katowice,Piotra Skargi
598,Edyta,Sroka,false,4,Informatyka,Kraków,Grottgera
599,Horacy,Kania,false,2,Inżynieria Biomedyczna,Szczecin,Adama Mickiewicza
600,Maks,Wójcicki,false,5,Automatyka i Robotyka,Szczecin,św Jana
601,Bruno,Bednarek,true,2,Informatyka,Bydgoszcz,Długa
602,Martyna,Żmuda,false,3,Automatyka i Robotyka,Wrocław,Bielska
603,Damian,Wroński,false,1,Informatyka,Lublin,Śląska
604,Faustyna,Malinowski,false,1,Elektrotechnika,Poznań,Aleja Wolności
605,Magda,Michalak,true,5,Mikroelektronika w technice i medycynie,Kielce,Tadeusza Kościuszki
606,Włodzimierz,Dudek,false,5,Automatyka i Robotyka,Kraków,Józefa Dietla
607,Sabina,Dobrowolski,false,3,Informatyka,Lublin,Piekarska
608,Eliza,Pawlik,false,1,Informatyka,Katowice,Hrubieszowska
609,Maks,Kwiatkowski,false,1,Mikroelektronika w technice i medycynie,Wrocław,Józefa Poniatowskiego
610,Renata,Dobrzyński,true,3,Mikroelektronika w technice i medycynie,Wrocław,Bankowa
611,Weronika,Buczek,false,2,Elektrotechnika,Katowice,Lipowa
612,Arkadiusz,Mazurkiewicz,false,1,Mikroelektronika w technice i medycynie,Kraków,Wojska Polskiego
613,Dorota,Szafrański,false,4,Informatyka,Gdańsk,Kazimierza Pułaskiego
614,Sabina,Szczygieł,false,2,Automatyka i Robotyka,Katowice,Strzelecka
615,Ilona,Stefaniak,false,1,Mikroelektronika w technice i medycynie,Kielce,Ignacego Paderewskiego
616,Szczepan,Żak,true,1,Elektrotechnika,Kielce,Puławska
617,Agata,Kurek,false,2,Informatyka,Warszawa,Partyzantów
618,Nikola,Szydłowski,false,3,Elektrotechnika,Kraków,Bracka
619,Bruno,Lewandowski,false,5,Automatyka i Robotyka,Warszawa,Gabriela Narutowicza
620,Iwona,Kaczor,false,4,Automatyka i Robotyka,Warszawa,Hetmańska
621,Faustyna,Cygan,false,1,Automatyka i Robotyka,Bydgoszcz,ALeja Solidarności
622,Gabriela,Leśniewski,true,2,Inżynieria Biomedyczna,Kielce,Stefana Wyszyńskiego
623,Bruno,Tomczyk,false,5,Mikroelektronika w technice i medycynie,Kraków,Toruńska
624,Paweł,Lach,false,5,Mikroelektronika w technice i medycynie,Lublin,Nowowiejska
625,Rachela,Bieniek,false,4,Mikroelektronika w technice i medycynie,Gdańsk,Kolejowa
626,Cecylia,Jędrzejczyk,false,4,Elektrotechnika,Katowice,Żytnia
627,Renata,Bednarski,true,3,Informatyka,Lublin,Oświęcimska
628,Halina,Adamczyk,false,5,Automatyka i Robotyka,Lublin,Grabarska
629,Łucja,Kopeć,false,2,Elektrotechnika,Gdańsk,Miodowa
630,Mariola,Zając,false,1,Informatyka,Gdańsk,Ignacego Paderewskiego
631,Leon,Kujawa,false,1,Informatyka,Wrocław,Franciszkańska
632,Krystian,Maliszewski,false,1,Mikroelektronika w technice i medycynie,Katowice,Jana III Sobieskiego
633,Tytus,Muszyński,true,5,Inżynieria Biomedyczna,Bydgoszcz,Katowicka
634,Maja,Kuś,true,5,Informatyka,Lublin,Juliana Tuwima
635,Lech,Łukaszewski,true,5,Informatyka,Katowice,Długa
636,Krystian,Przybysz,false,1,Mikroelektronika w technice i medycynie,Kraków,Józefa Dietla
637,Denis,Jastrzębski,false,1,Automatyka i Robotyka,Kraków,Bracka
638,Janusz,Szczepaniak,false,2,Elektrotechnika,Szczecin,Bracka
639,Rafał,Duda,false,3,Elektrotechnika,Gdańsk,Henryka Dąbrowskiego
640,Gabriela,Bąk,false,2,Mikroelektronika w technice i medycynie,Szczecin,Poznańska
641,Wanda,Sławiński,false,5,Mikroelektronika w technice i medycynie,Kraków,Senatorska
642,Irena,Lewicki,false,3,Informatyka,Gdańsk,ks. Jerzego Popoiełuszki
643,Norbert,Maliszewski,false,5,Inżynieria Biomedyczna,Bydgoszcz,Opolska
644,Bogdan,Stasiak,false,5,Elektrotechnika,Bydgoszcz,1 Maja
645,Grażyna,Żurawski,false,1,Elektrotechnika,Katowice,Bracka
646,Marzena,Dziedzic,true,2,Informatyka,Kraków,Boh.Monte Cassino
647,Aleksandra,Karwowski,true,1,Automatyka i Robotyka,Poznań,Jacka Malczewskiego
648,Karolina,Cieślik,false,3,Informatyka,Kielce,Jana Kilińskiego
649,Justyna,Borkowski,false,4,Automatyka i Robotyka,Katowice,Bytomska
650,Gabriela,Rzepka,true,4,Elektrotechnika,Katowice,Kijowska
651,Paweł,Maj,false,4,Elektrotechnika,Kraków,Ogrodowa
